 Cluster,RAJ2000,DEJ2000,RA1deg,DE1deg,Ngal,z,r80,R
1384,347.0743,-00.3216,347.1203,-00.3447, 41, 0.3557, 215.7,2
1385,346.8913,-00.0068,346.8917,-00.0083,  5, 0.2551,  10.8,4
1386,347.2183,+00.1377,347.2234,+00.1360,  7, 0.4387,  55.7,2
1387,348.6376,-00.4594,348.6418,-00.4540,  6, 0.4609,  43.2,2
1388,347.5117,+00.4101,347.5130,+00.4174,  9, 0.4260,  47.0,1
1389,347.2633,-01.1932,347.2599,-01.1846,  6, 0.2077,  64.9,1
1390,347.8144,+00.4426,347.8119,+00.4411,  5, 0.2930,  40.4,1
1391,346.4223,-01.1465,346.4193,-01.1522,  9, 0.2272,  79.0,4
1392,348.3368,+01.0185,348.3402,+01.0230,  9, 0.2390,  78.3,2
1393,346.7804,-00.1370,346.7671,-00.1494,  8, 0.3416, 137.0,
1394,347.8111,-00.4920,347.7809,-00.5101, 20, 0.5425, 164.3,2
1395,347.5972,+00.5995,347.5961,+00.5966,  5, 0.2044,  17.7,1
1396,350.2393,+00.5284,350.2459,+00.5220,  5, 0.1822,  35.3,2
1397,350.2635,+00.1403,350.2569,+00.1492,  8, 0.4827,  52.4,2
1398,349.1635,-00.0497,349.1656,-00.0531, 12, 0.4108,  43.1,4
1399,350.6445,-01.0220,350.6460,-01.0278,  6, 0.3037,  39.7,1
1400,349.3379,-01.0712,349.3363,-01.0733,  5, 0.4118,  19.0,4
1401,350.8507,+00.5208,350.8542,+00.5233,  5, 0.2034,  13.4,2
1402,350.9277,-01.1115,350.9299,-01.1081,  5, 0.1885,  23.0,
1403,351.4099,-00.1915,351.4179,-00.1866, 13, 0.5270, 102.0,
1404,351.2831,+00.2171,351.2778,+00.2167,  5, 0.1451,  35.4,2
1405,348.9400,+00.9219,348.9268,+00.9353,  5, 0.3273,  32.5,
1406,349.5292,-00.6643,349.5308,-00.6672,  5, 0.4430,  21.6,4
1407,350.7542,-01.0412,350.7619,-01.0453, 13, 0.3562,  95.2,2
1408,350.2568,+00.6208,350.2568,+00.6234,  5, 0.3958,  12.8,2
1409,349.1508,+01.1555,349.1324,+01.1556,  6, 0.2625,  57.1,
1410,351.0363,+00.2254,351.0362,+00.2250,  5, 0.4201,  15.7,3
1411,350.0065,-01.2020,350.0597,-01.1708, 24, 0.2748, 227.5,2
1412,349.9612,+00.0203,349.9623,+00.0212,  5, 0.4812,  53.1,2
1413,349.4965,+01.1954,349.4952,+01.1969,  7, 0.5259,  23.7,
1414,350.7213,-00.2619,350.7215,-00.2585,  5, 0.3510,  35.4,2
1415,349.2583,+00.7875,349.2529,+00.7812, 11, 0.3516, 226.3,
1416,348.9352,+00.8782,348.9377,+00.8867, 39, 0.3310, 119.9,
1417,349.8197,-01.0455,349.8292,-01.0464,  5, 0.1754,  34.7,
1418,351.0053,-00.8279,351.0030,-00.8343,  5, 0.2920,  52.8,2
1419,351.0267,+00.3652,351.0255,+00.3631,  5, 0.2550,  21.0,2
1420,350.6166,-00.3749,350.6570,-00.4030, 78, 0.2678, 194.5,3
1421,351.0879,-00.1641,351.0920,-00.1707,  5, 0.3478,  60.0,2
1422,349.6260,-00.4289,349.6378,-00.4488, 12, 0.3523, 112.0,2
1423,350.7556,-01.0424,350.7699,-01.0270,  6, 0.3775, 105.7,2
1424,350.6225,+01.1440,350.6241,+01.1468, 10, 0.3735,  37.6,2
1425,350.2627,-00.2324,350.2585,-00.2267,  6, 0.4420,  25.1,2
1426,349.7703,+00.9684,349.7703,+00.9686,  5, 0.3588,  44.6,1
1427,348.8622,-00.7599,348.8432,-00.7358, 24, 0.3479,  99.1,4
1428,349.9494,-01.0698,349.9480,-01.0696,  9, 0.3302,  32.7,2
1429,350.2062,+00.0400,350.2039,+00.0409,  5, 0.4400,  22.7,3
1430,349.6319,-00.6261,349.6408,-00.6289,  5, 0.4800,  72.8,2
1431,350.4194,+00.3485,350.4215,+00.3503,  5, 0.4430,  42.4,2
1432,350.1409,+00.6443,350.1427,+00.6419,  5, 0.3776,  10.6,2
1433,350.8217,+01.1133,350.8227,+01.1145,  5, 0.2558,  13.4,2
1434,349.9135,-00.0383,349.9112,-00.0359,  5, 0.3679,  14.4,3
1435,349.6390,+00.0072,349.6318,+00.0003,  5, 0.3510,  46.6,
1436,349.2180,+00.0044,349.2192,+00.0051,  7, 0.4430,  26.7,4
1437,349.7191,-00.6438,349.7117,-00.6444, 13, 0.3293,  39.8,2
1438,351.0572,-00.1850,351.0601,-00.1822,  5, 0.3864,  15.3,3
1439,350.0468,+01.1661,350.0230,+01.1837,  6, 0.3651,  97.9,1
1440,348.9317,-01.1959,348.9451,-01.1668, 13, 0.2965, 101.4,
1441,351.0123,-00.8407,351.0151,-00.8419,  5, 0.3450,  32.7,2
1442,351.0911,-00.5335,351.0842,-00.5415, 11, 0.2645,  64.9,2
1443,350.7620,+01.1899,350.7566,+01.1953, 24, 0.3176,  98.9,3
1444,350.1639,+00.0021,350.1648,-00.0107,  7, 0.3140,  70.0,2
1445,351.7884,-00.3950,351.8103,-00.3920, 17, 0.2867,  68.3,4
1446,348.9342,-00.9516,348.9466,-00.9441,  7, 0.3342,  79.1,
1447,348.8935,+00.7540,348.8804,+00.7479,  8, 0.4290,  80.3,
1448,350.7641,-01.0727,350.7587,-01.0749,  7, 0.2470,  54.4,2
1449,350.0434,-00.4976,350.0382,-00.4994,  6, 0.2677,  43.8,2
1450,349.6108,-00.5059,349.6099,-00.5073,  5, 0.1803,  23.6,
1451,349.1899,+01.1005,349.1634,+01.1214, 41, 0.3613, 279.3,
