#Name;RAJ2000;DEJ2000;Counts;z;TX
# ;deg;deg;ct; ;keV
#------------;----------;----------;-------;------;------
J1307.8+2925;196.956667;+29.430333; 7139.8;  0.24;  3.20
J1308.5+5342;197.135833;+53.703944; 2552.9;  0.33;  3.50
J1309.5+5739;197.390417;+57.657306;  526.3;  0.20;  7.90
J1310.4-0119;197.618333;-01.318583;  128.0;  0.14;  1.60
J1310.9+5720;197.743750;+57.345500;  392.9;  0.53;  4.10
J1313.0+3519;198.258333;+35.328639;  284.3;  0.30;  3.90
J1314.9-1638;198.729583;-16.643611;  544.5;  0.61;  3.30
J1318.7-0043;199.682500;-00.732417;  699.5;  0.11;  1.10
J1319.6-1454;199.904583;-14.912389;  421.0;  0.19;  1.10
J1319.8-1449;199.958750;-14.832639;  234.5;  0.34;  0.60
J1320.8+3355;200.224167;+33.922500;  550.0;  0.18;  2.80
J1324.3+3012;201.086250;+30.211194;  459.6;  0.69;  3.70
J1324.5+0534;201.141667;+05.574194;  745.4;  0.23;  4.00
J1324.9+3007;201.242500;+30.123111;  332.0;  0.59;  2.90
J1325.0-3813;201.256250;-38.223222; 2468.5;  0.30;  2.90
J1328.5+4703;202.125833;+47.065889;  177.9;  0.38;  4.10
J1329.9+2411;202.495417;+24.190167;  126.4;  0.17;  2.30
J1331.1-0158;202.779583;-01.977056;  161.7;  0.20;  2.30
J1332.9+5031;203.228333;+50.531417; 2596.4;  0.28;  7.70
J1334.6+5043;203.664583;+50.724194;  279.8;  0.24;
J1334.9+3750;203.740417;+37.838972;  689.5;  0.38;
J1335.0+5023;203.772083;+50.393417;  688.3;  0.09;  1.30
J1335.1-2329;203.797917;-23.488111;  669.1;  0.10;  1.90
J1335.2+3749;203.808750;+37.818278;  293.5;  0.60;  3.90
J1335.9+3754;203.996250;+37.900222;  101.3;  0.25;  4.70
J1336.0+5145;204.020833;+51.758667; 1005.5;  0.53;  1.70
J1339.1+4811;204.788333;+48.197972;  172.2;  0.41;  1.70
J1341.4-0102;205.351250;-01.034444;  229.1;  0.29;  2.30
J1341.6+0017;205.413750;+00.292750;  214.3;  0.44;  4.90
J1343.0-0000;205.771250;-00.015778; 1338.4;  0.55;  4.20
J1343.4+5546;205.862083;+55.780083;  209.3;  0.07;  1.80
J1346.7+2646;206.691250;+26.773806;  258.7;  0.43;
J1348.4+5800;207.106667;+58.004389;  637.2;  0.13;  1.60
J1348.8+6009;207.215833;+60.161806;  188.0;  0.44;  2.00
J1349.8+2706;207.457083;+27.101472;  144.8;  0.42;  1.80
J1353.9+3350;208.495000;+33.834194;  553.3;  0.47;  2.40
J1354.8+6917;208.705417;+69.294056;  549.4;  0.21;  2.70
J1355.6+1825;208.924583;+18.429278;  235.9;  0.28;  2.10
J1355.7+1822;208.941667;+18.380778;  218.9;  0.29;  2.20
J1406.2+2830;211.565833;+28.513639;  325.1;  0.55;  5.60
J1406.7+2833;211.691667;+28.552306;  171.5;  0.52;  2.30
J1409.5+2629;212.396667;+26.494972;  227.5;  0.12;  1.30
J1413.2-0318;213.305000;-03.301056;  184.4;  0.29;  1.40
J1414.9+4403;213.743333;+44.054861;  159.0;  0.43;  1.40
J1415.5+2823;213.895000;+28.393111;  619.6;  0.22;  3.90
J1415.9+2307;213.993333;+23.121944;  263.2;  0.42;  2.90
J1416.9+2312;214.239583;+23.210889;  116.7;  0.10;  0.90
J1417.5+2511;214.380000;+25.194194;  179.5;  0.18;  1.80
J1418.5+2511;214.634583;+25.184694; 5203.1;  0.29;  6.40
J1419.6+0647;214.900833;+06.793556;14446.4;  0.11;  2.70
J1420.4+0632;215.100000;+06.544861;  262.8;  0.11;  1.30
J1420.7+0631;215.185833;+06.516944;  300.6;  0.14;  1.00
J1423.0+3828;215.772500;+38.468611;  196.6;  0.43;  6.40
J1425.8+3802;216.465833;+38.046194;  624.8;  0.45;  3.70
J1429.1+4241;217.285000;+42.691361; 1887.4;  0.92;  5.40
J1431.0+4214;217.758750;+42.242028;  614.9;  0.43;  4.30
J1434.5+0337;218.634583;+03.629000;  140.8;  0.29;  1.30
J1436.0+6325;219.013333;+63.427222; 1030.5;  0.13;  1.30
J1437.2+3415;219.310000;+34.254944;  375.6;  0.51;  8.40
J1437.4+3414;219.352500;+34.241083;  133.3;  0.44;  2.20
J1437.7+3408;219.430000;+34.135500;  175.5;  0.49;  4.20
J1440.2+0341;220.067500;+03.690111;  957.3;  0.29;  4.70
J1448.1-0025;222.046667;-00.419222;   67.1;  0.15;
J1450.1+0904;222.538750;+09.074667;  694.0;  0.60;  4.10
J1455.0+1841;223.773333;+18.696778;  144.5;  0.21;
